"testrun id","3","6","12","url for different ones"
"1615","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1615"
"1533","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1533"
"1571","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1571"
"7593","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=7593"
"7429","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=7429"
"7773","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=7773"
"7409","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=7409"
"1489","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1489"
"1473","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1473"
"1504","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1504"
"2787","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2787"
"1485","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1485"
"1527","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1527"
"1514","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1514"
"7611","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=7611"
"7723","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=7723"
"1521","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1521"
"5349","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=5349"
"2732","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2732"
"5647","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=5647"
"4965","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=4965"
"2795","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2795"
"1486","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1486"
"1466","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1466"
"2795","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2795"
"1463","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1463"
"3689","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=3689"
