"test, platform","weekday","average"
"('tp5o', 'Linux')","Saturday","6.925"
"('tart', 'OSX64')","Monday","0.083"
"('tart', 'OSX64')","Tuesday","0.214"
"('tart', 'OSX64')","Friday","0.369"
"('tart', 'OSX64')","Wednesday","0.055"
"('tart', 'OSX64')","Thursday","0.154"
"('tart', 'OSX64')","Sunday","0.042"
"('tart', 'OSX64')","Saturday","0.047"
"('tart', 'Win8')","Monday","0.029"
"('tart', 'Win8')","Tuesday","0.015"
"('tart', 'Win8')","Friday","0.017"
"('tart', 'Win8')","Wednesday","0.015"
"('tart', 'Win8')","Thursday","0.035"
"('tart', 'Win8')","Sunday","0.023"
"('tart', 'Win8')","Saturday","0.009"
"('tart', 'WinXP')","Monday","0.018"
"('tart', 'WinXP')","Tuesday","0.023"
"('tart', 'WinXP')","Friday","0.032"
"('tart', 'WinXP')","Wednesday","0.026"
"('tart', 'WinXP')","Thursday","0.040"
"('tart', 'WinXP')","Sunday","0.032"
"('tart', 'WinXP')","Saturday","0.041"
"('tart', 'Win7')","Monday","0.067"
"('tart', 'Win7')","Tuesday","0.027"
"('tart', 'Win7')","Friday","0.025"
"('tart', 'Win7')","Wednesday","0.029"
"('tart', 'Win7')","Thursday","0.061"
"('tart', 'Win7')","Sunday","0.048"
"('tart', 'Win7')","Saturday","0.019"
"('tart', 'Linux64')","Monday","0.069"
"('tart', 'Linux64')","Tuesday","0.003"
"('tart', 'Linux64')","Friday","0.013"
"('tart', 'Linux64')","Wednesday","0.003"
"('tart', 'Linux64')","Thursday","0.056"
"('tart', 'Linux64')","Sunday","0.002"
"('tart', 'Linux64')","Saturday","0.020"
"('tart', 'OSX10.8')","Monday","0.101"
"('tart', 'OSX10.8')","Tuesday","0.357"
"('tart', 'OSX10.8')","Friday","0.336"
"('tart', 'OSX10.8')","Wednesday","0.036"
"('tart', 'OSX10.8')","Thursday","0.193"
"('tart', 'OSX10.8')","Sunday","0.046"
"('tart', 'OSX10.8')","Saturday","0.052"
"('tart', 'Linux')","Monday","0.087"
"('tart', 'Linux')","Tuesday","0.013"
"('tart', 'Linux')","Friday","0.021"
"('tart', 'Linux')","Wednesday","0.016"
"('tart', 'Linux')","Thursday","0.055"
"('tart', 'Linux')","Sunday","0.006"
"('tart', 'Linux')","Saturday","0.016"
"('glterrain', 'OSX64')","Monday","0.036"
"('glterrain', 'OSX64')","Tuesday","0.038"
"('glterrain', 'OSX64')","Friday","0.196"
"('glterrain', 'OSX64')","Wednesday","0.027"
"('glterrain', 'OSX64')","Thursday","0.031"
"('glterrain', 'OSX64')","Sunday","0.031"
"('glterrain', 'OSX64')","Saturday","0.030"
"('glterrain', 'Win8')","Monday","0.005"
"('glterrain', 'Win8')","Tuesday","0.004"
"('glterrain', 'Win8')","Friday","0.005"
"('glterrain', 'Win8')","Wednesday","1.108"
"('glterrain', 'Win8')","Thursday","1.069"
"('glterrain', 'Win8')","Sunday","0.005"
"('glterrain', 'Win8')","Saturday","0.004"
"('glterrain', 'WinXP')","Monday","0.036"
"('glterrain', 'WinXP')","Tuesday","0.334"
"('glterrain', 'WinXP')","Friday","1.246"
"('glterrain', 'WinXP')","Wednesday","0.363"
"('glterrain', 'WinXP')","Thursday","0.224"
"('glterrain', 'WinXP')","Sunday","0.035"
"('glterrain', 'WinXP')","Saturday","0.194"
"('glterrain', 'Win7')","Monday","0.030"
"('glterrain', 'Win7')","Tuesday","0.038"
"('glterrain', 'Win7')","Friday","0.025"
"('glterrain', 'Win7')","Wednesday","1.911"
"('glterrain', 'Win7')","Thursday","0.021"
"('glterrain', 'Win7')","Sunday","0.021"
"('glterrain', 'Win7')","Saturday","0.020"
"('glterrain', 'Linux64')","Monday","0.120"
"('glterrain', 'Linux64')","Tuesday","0.108"
"('glterrain', 'Linux64')","Friday","1.155"
"('glterrain', 'Linux64')","Wednesday","0.061"
"('glterrain', 'Linux64')","Thursday","0.109"
"('glterrain', 'Linux64')","Sunday","0.049"
"('glterrain', 'Linux64')","Saturday","0.131"
"('glterrain', 'OSX10.8')","Monday","0.471"
"('glterrain', 'OSX10.8')","Tuesday","0.544"
"('glterrain', 'OSX10.8')","Friday","0.485"
"('glterrain', 'OSX10.8')","Wednesday","0.477"
"('glterrain', 'OSX10.8')","Thursday","0.476"
"('glterrain', 'OSX10.8')","Sunday","0.401"
"('glterrain', 'OSX10.8')","Saturday","0.339"
"('glterrain', 'Linux')","Monday","0.070"
"('glterrain', 'Linux')","Tuesday","0.063"
"('glterrain', 'Linux')","Friday","0.582"
"('glterrain', 'Linux')","Wednesday","0.064"
"('glterrain', 'Linux')","Thursday","0.106"
"('glterrain', 'Linux')","Sunday","0.044"
"('glterrain', 'Linux')","Saturday","0.448"
"('remote-trobopan', 'Android')","Monday","1672608622.955"
"('remote-trobopan', 'Android')","Tuesday","1417111543.652"
"('remote-trobopan', 'Android')","Friday","2943076948.595"
"('remote-trobopan', 'Android')","Wednesday","1316359382.168"
"('remote-trobopan', 'Android')","Thursday","4377042866.791"
"('remote-trobopan', 'Android')","Sunday","1113745987.756"
"('remote-trobopan', 'Android')","Saturday","1327410131.636"
"('cart', 'OSX64')","Monday","1.362"
"('cart', 'OSX64')","Tuesday","2.053"
"('cart', 'OSX64')","Friday","2.004"
"('cart', 'OSX64')","Wednesday","0.532"
"('cart', 'OSX64')","Thursday","1.681"
"('cart', 'OSX64')","Sunday","0.202"
"('cart', 'OSX64')","Saturday","0.579"
"('cart', 'Win8')","Monday","2.244"
"('cart', 'Win8')","Tuesday","1.560"
"('cart', 'Win8')","Friday","2.402"
"('cart', 'Win8')","Wednesday","1.376"
"('cart', 'Win8')","Thursday","1.709"
"('cart', 'Win8')","Sunday","1.062"
"('cart', 'Win8')","Saturday","0.698"
"('cart', 'WinXP')","Monday","1.520"
"('cart', 'WinXP')","Tuesday","1.294"
"('cart', 'WinXP')","Friday","2.362"
"('cart', 'WinXP')","Wednesday","1.458"
"('cart', 'WinXP')","Thursday","1.828"
"('cart', 'WinXP')","Sunday","1.992"
"('cart', 'WinXP')","Saturday","2.501"
"('cart', 'Win7')","Monday","3.103"
"('cart', 'Win7')","Tuesday","2.248"
"('cart', 'Win7')","Friday","2.318"
"('cart', 'Win7')","Wednesday","1.399"
"('cart', 'Win7')","Thursday","3.364"
"('cart', 'Win7')","Sunday","1.877"
"('cart', 'Win7')","Saturday","1.296"
"('cart', 'Linux64')","Monday","1.278"
"('cart', 'Linux64')","Tuesday","0.814"
"('cart', 'Linux64')","Friday","2.404"
"('cart', 'Linux64')","Wednesday","0.894"
"('cart', 'Linux64')","Thursday","2.125"
"('cart', 'Linux64')","Sunday","0.656"
"('cart', 'Linux64')","Saturday","0.697"
"('cart', 'OSX10.8')","Monday","1.453"
"('cart', 'OSX10.8')","Tuesday","17.436"
"('cart', 'OSX10.8')","Friday","6.570"
"('cart', 'OSX10.8')","Wednesday","1.220"
"('cart', 'OSX10.8')","Thursday","1.355"
"('cart', 'OSX10.8')","Sunday","2.222"
"('cart', 'OSX10.8')","Saturday","3.211"
"('cart', 'Linux')","Monday","1.734"
"('cart', 'Linux')","Tuesday","1.290"
"('cart', 'Linux')","Friday","2.747"
"('cart', 'Linux')","Wednesday","1.656"
"('cart', 'Linux')","Thursday","2.352"
"('cart', 'Linux')","Sunday","1.083"
"('cart', 'Linux')","Saturday","1.207"
"('remote-tp4m_nochrome', 'Android')","Monday","67639.903"
"('remote-tp4m_nochrome', 'Android')","Tuesday","1735.118"
"('remote-tp4m_nochrome', 'Android')","Friday","2465.712"
"('remote-tp4m_nochrome', 'Android')","Wednesday","2016.023"
"('remote-tp4m_nochrome', 'Android')","Thursday","5155.764"
"('remote-tp4m_nochrome', 'Android')","Sunday","920.623"
"('remote-tp4m_nochrome', 'Android')","Saturday","740.823"
"('tp5o_scroll', 'OSX64')","Monday","0.002"
"('tp5o_scroll', 'OSX64')","Tuesday","0.004"
"('tp5o_scroll', 'OSX64')","Friday","0.287"
"('tp5o_scroll', 'OSX64')","Wednesday","0.003"
"('tp5o_scroll', 'OSX64')","Thursday","0.015"
"('tp5o_scroll', 'OSX64')","Sunday","0.002"
"('tp5o_scroll', 'OSX64')","Saturday","0.002"
"('tp5o_scroll', 'Win8')","Monday","0.016"
"('tp5o_scroll', 'Win8')","Tuesday","0.017"
"('tp5o_scroll', 'Win8')","Friday","0.016"
"('tp5o_scroll', 'Win8')","Wednesday","0.016"
"('tp5o_scroll', 'Win8')","Thursday","0.015"
"('tp5o_scroll', 'Win8')","Sunday","0.011"
"('tp5o_scroll', 'Win8')","Saturday","0.012"
"('tp5o_scroll', 'WinXP')","Monday","0.005"
"('tp5o_scroll', 'WinXP')","Tuesday","0.002"
"('tp5o_scroll', 'WinXP')","Friday","0.013"
"('tp5o_scroll', 'WinXP')","Wednesday","0.002"
"('tp5o_scroll', 'WinXP')","Thursday","0.022"
"('tp5o_scroll', 'WinXP')","Sunday","0.014"
"('tp5o_scroll', 'WinXP')","Saturday","0.019"
"('tp5o_scroll', 'Win7')","Monday","0.009"
"('tp5o_scroll', 'Win7')","Tuesday","0.010"
"('tp5o_scroll', 'Win7')","Friday","0.010"
"('tp5o_scroll', 'Win7')","Wednesday","0.008"
"('tp5o_scroll', 'Win7')","Thursday","0.007"
"('tp5o_scroll', 'Win7')","Sunday","0.007"
"('tp5o_scroll', 'Win7')","Saturday","0.007"
"('tp5o_scroll', 'Linux64')","Monday","0.018"
"('tp5o_scroll', 'Linux64')","Tuesday","0.011"
"('tp5o_scroll', 'Linux64')","Friday","0.819"
"('tp5o_scroll', 'Linux64')","Wednesday","0.010"
"('tp5o_scroll', 'Linux64')","Thursday","0.009"
"('tp5o_scroll', 'Linux64')","Sunday","0.015"
"('tp5o_scroll', 'Linux64')","Saturday","0.008"
"('tp5o_scroll', 'OSX10.8')","Monday","0.249"
"('tp5o_scroll', 'OSX10.8')","Tuesday","0.122"
"('tp5o_scroll', 'OSX10.8')","Friday","0.371"
"('tp5o_scroll', 'OSX10.8')","Wednesday","0.048"
"('tp5o_scroll', 'OSX10.8')","Thursday","0.051"
"('tp5o_scroll', 'OSX10.8')","Sunday","0.001"
"('tp5o_scroll', 'OSX10.8')","Saturday","0.001"
"('tp5o_scroll', 'Linux')","Monday","0.023"
"('tp5o_scroll', 'Linux')","Tuesday","0.018"
"('tp5o_scroll', 'Linux')","Friday","0.931"
"('tp5o_scroll', 'Linux')","Wednesday","0.020"
"('tp5o_scroll', 'Linux')","Thursday","0.019"
"('tp5o_scroll', 'Linux')","Sunday","0.018"
"('tp5o_scroll', 'Linux')","Saturday","0.014"
"('dromaeo_css', 'OSX64')","Monday","4788.981"
"('dromaeo_css', 'OSX64')","Tuesday","7076.176"
"('dromaeo_css', 'OSX64')","Friday","3149.749"
"('dromaeo_css', 'OSX64')","Wednesday","2886.023"
"('dromaeo_css', 'OSX64')","Thursday","2543.848"
"('dromaeo_css', 'OSX64')","Sunday","8254.262"
"('dromaeo_css', 'OSX64')","Saturday","4895.953"
"('dromaeo_css', 'Win8')","Monday","5204.414"
"('dromaeo_css', 'Win8')","Tuesday","12027.807"
"('dromaeo_css', 'Win8')","Friday","5656.517"
"('dromaeo_css', 'Win8')","Wednesday","5084.643"
"('dromaeo_css', 'Win8')","Thursday","5177.311"
"('dromaeo_css', 'Win8')","Sunday","4668.750"
"('dromaeo_css', 'Win8')","Saturday","4661.900"
"('dromaeo_css', 'Win7')","Monday","7503.604"
"('dromaeo_css', 'Win7')","Tuesday","13851.082"
"('dromaeo_css', 'Win7')","Friday","7841.613"
"('dromaeo_css', 'Win7')","Wednesday","8442.932"
"('dromaeo_css', 'Win7')","Thursday","8478.519"
"('dromaeo_css', 'Win7')","Sunday","7981.258"
"('dromaeo_css', 'Win7')","Saturday","11633.890"
"('dromaeo_css', 'Linux64')","Monday","4564.702"
"('dromaeo_css', 'Linux64')","Tuesday","7456.790"
"('dromaeo_css', 'Linux64')","Friday","5001.304"
"('dromaeo_css', 'Linux64')","Wednesday","4845.163"
"('dromaeo_css', 'Linux64')","Thursday","4605.215"
"('dromaeo_css', 'Linux64')","Sunday","3334.223"
"('dromaeo_css', 'Linux64')","Saturday","3319.771"
"('dromaeo_css', 'OSX10.8')","Monday","61811.433"
"('dromaeo_css', 'OSX10.8')","Tuesday","82640.939"
"('dromaeo_css', 'OSX10.8')","Friday","63986.223"
"('dromaeo_css', 'OSX10.8')","Wednesday","73192.246"
"('dromaeo_css', 'OSX10.8')","Thursday","58238.472"
"('dromaeo_css', 'OSX10.8')","Sunday","32229.337"
"('dromaeo_css', 'OSX10.8')","Saturday","24053.199"
"('dromaeo_css', 'Linux')","Monday","3891.123"
"('dromaeo_css', 'Linux')","Tuesday","6547.588"
"('dromaeo_css', 'Linux')","Friday","3732.685"
"('dromaeo_css', 'Linux')","Wednesday","3665.632"
"('dromaeo_css', 'Linux')","Thursday","3368.417"
"('dromaeo_css', 'Linux')","Sunday","2461.478"
"('dromaeo_css', 'Linux')","Saturday","2991.510"
"('tscrollx', 'OSX64')","Monday","0.016"
"('tscrollx', 'OSX64')","Tuesday","0.036"
"('tscrollx', 'OSX64')","Friday","0.162"
"('tscrollx', 'OSX64')","Wednesday","0.012"
"('tscrollx', 'OSX64')","Thursday","0.032"
"('tscrollx', 'OSX64')","Sunday","0.002"
"('tscrollx', 'OSX64')","Saturday","0.011"
"('tscrollx', 'Win8')","Monday","0.013"
"('tscrollx', 'Win8')","Tuesday","0.053"
"('tscrollx', 'Win8')","Friday","0.010"
"('tscrollx', 'Win8')","Wednesday","0.007"
"('tscrollx', 'Win8')","Thursday","0.006"
"('tscrollx', 'Win8')","Sunday","0.006"
"('tscrollx', 'Win8')","Saturday","0.005"
"('tscrollx', 'WinXP')","Monday","0.087"
"('tscrollx', 'WinXP')","Tuesday","0.086"
"('tscrollx', 'WinXP')","Friday","0.087"
"('tscrollx', 'WinXP')","Wednesday","0.086"
"('tscrollx', 'WinXP')","Thursday","0.093"
"('tscrollx', 'WinXP')","Sunday","0.080"
"('tscrollx', 'WinXP')","Saturday","0.089"
"('tscrollx', 'Win7')","Monday","0.009"
"('tscrollx', 'Win7')","Tuesday","0.007"
"('tscrollx', 'Win7')","Friday","0.008"
"('tscrollx', 'Win7')","Wednesday","0.020"
"('tscrollx', 'Win7')","Thursday","0.007"
"('tscrollx', 'Win7')","Sunday","0.008"
"('tscrollx', 'Win7')","Saturday","0.008"
"('tscrollx', 'Linux64')","Monday","0.101"
"('tscrollx', 'Linux64')","Tuesday","0.026"
"('tscrollx', 'Linux64')","Friday","0.040"
"('tscrollx', 'Linux64')","Wednesday","0.019"
"('tscrollx', 'Linux64')","Thursday","0.030"
"('tscrollx', 'Linux64')","Sunday","0.010"
"('tscrollx', 'Linux64')","Saturday","0.062"
"('tscrollx', 'OSX10.8')","Monday","0.058"
"('tscrollx', 'OSX10.8')","Tuesday","0.096"
"('tscrollx', 'OSX10.8')","Friday","0.062"
"('tscrollx', 'OSX10.8')","Wednesday","0.017"
"('tscrollx', 'OSX10.8')","Thursday","0.025"
"('tscrollx', 'OSX10.8')","Sunday","0.022"
"('tscrollx', 'OSX10.8')","Saturday","0.017"
"('tscrollx', 'Linux')","Monday","0.098"
"('tscrollx', 'Linux')","Tuesday","0.004"
"('tscrollx', 'Linux')","Friday","0.007"
"('tscrollx', 'Linux')","Wednesday","0.005"
"('tscrollx', 'Linux')","Thursday","0.012"
"('tscrollx', 'Linux')","Sunday","0.044"
"('tscrollx', 'Linux')","Saturday","0.017"
"('kraken', 'OSX64')","Monday","1902.049"
"('kraken', 'OSX64')","Tuesday","13609373.873"
"('kraken', 'OSX64')","Friday","701.501"
"('kraken', 'OSX64')","Wednesday","280.397"
"('kraken', 'OSX64')","Thursday","260.990"
"('kraken', 'OSX64')","Sunday","3829.086"
"('kraken', 'OSX64')","Saturday","1683.218"
"('kraken', 'Win8')","Monday","142.777"
"('kraken', 'Win8')","Tuesday","23576946.388"
"('kraken', 'Win8')","Friday","121.826"
"('kraken', 'Win8')","Wednesday","137.831"
"('kraken', 'Win8')","Thursday","122.954"
"('kraken', 'Win8')","Sunday","98.448"
"('kraken', 'Win8')","Saturday","111.519"
"('kraken', 'Win7')","Monday","407.194"
"('kraken', 'Win7')","Tuesday","21621718.441"
"('kraken', 'Win7')","Friday","439.150"
"('kraken', 'Win7')","Wednesday","467.178"
"('kraken', 'Win7')","Thursday","464.257"
"('kraken', 'Win7')","Sunday","464.119"
"('kraken', 'Win7')","Saturday","519.244"
"('kraken', 'Linux64')","Monday","76.503"
"('kraken', 'Linux64')","Tuesday","4794126.942"
"('kraken', 'Linux64')","Friday","31.206"
"('kraken', 'Linux64')","Wednesday","35.814"
"('kraken', 'Linux64')","Thursday","38.501"
"('kraken', 'Linux64')","Sunday","165.801"
"('kraken', 'Linux64')","Saturday","29.588"
"('kraken', 'OSX10.8')","Monday","3656.935"
"('kraken', 'OSX10.8')","Tuesday","5806539.159"
"('kraken', 'OSX10.8')","Friday","1648.864"
"('kraken', 'OSX10.8')","Wednesday","1741.020"
"('kraken', 'OSX10.8')","Thursday","743.151"
"('kraken', 'OSX10.8')","Sunday","86.875"
"('kraken', 'OSX10.8')","Saturday","50.584"
"('kraken', 'Linux')","Monday","122.641"
"('kraken', 'Linux')","Tuesday","7917025.139"
"('kraken', 'Linux')","Friday","46.410"
"('kraken', 'Linux')","Wednesday","37.742"
"('kraken', 'Linux')","Thursday","66.277"
"('kraken', 'Linux')","Sunday","35.471"
"('kraken', 'Linux')","Saturday","48.697"
"('tcanvasmark', 'OSX64')","Monday","1142.691"
"('tcanvasmark', 'OSX64')","Tuesday","1132.589"
"('tcanvasmark', 'OSX64')","Friday","1370.297"
"('tcanvasmark', 'OSX64')","Wednesday","1287.380"
"('tcanvasmark', 'OSX64')","Thursday","1025.777"
"('tcanvasmark', 'OSX64')","Sunday","980.572"
"('tcanvasmark', 'OSX64')","Saturday","1329.175"
"('tcanvasmark', 'Win8')","Monday","6753.053"
"('tcanvasmark', 'Win8')","Tuesday","5514.896"
"('tcanvasmark', 'Win8')","Friday","6027.482"
"('tcanvasmark', 'Win8')","Wednesday","28106.402"
"('tcanvasmark', 'Win8')","Thursday","6332.608"
"('tcanvasmark', 'Win8')","Sunday","5070.750"
"('tcanvasmark', 'Win8')","Saturday","5526.509"
"('tcanvasmark', 'WinXP')","Monday","13230.540"
"('tcanvasmark', 'WinXP')","Tuesday","5485.665"
"('tcanvasmark', 'WinXP')","Friday","7854.428"
"('tcanvasmark', 'WinXP')","Wednesday","15990.586"
"('tcanvasmark', 'WinXP')","Thursday","9143.234"
"('tcanvasmark', 'WinXP')","Sunday","10199.533"
"('tcanvasmark', 'WinXP')","Saturday","9971.996"
"('tcanvasmark', 'Win7')","Monday","7517.172"
"('tcanvasmark', 'Win7')","Tuesday","7941.305"
"('tcanvasmark', 'Win7')","Friday","8024.126"
"('tcanvasmark', 'Win7')","Wednesday","7586.814"
"('tcanvasmark', 'Win7')","Thursday","9542.894"
"('tcanvasmark', 'Win7')","Sunday","7369.290"
"('tcanvasmark', 'Win7')","Saturday","7314.934"
"('tcanvasmark', 'Linux64')","Monday","9117.606"
"('tcanvasmark', 'Linux64')","Tuesday","8682.524"
"('tcanvasmark', 'Linux64')","Friday","9639.034"
"('tcanvasmark', 'Linux64')","Wednesday","8793.247"
"('tcanvasmark', 'Linux64')","Thursday","8631.381"
"('tcanvasmark', 'Linux64')","Sunday","12749.863"
"('tcanvasmark', 'Linux64')","Saturday","8467.228"
"('tcanvasmark', 'OSX10.8')","Monday","42077.520"
"('tcanvasmark', 'OSX10.8')","Tuesday","64217.572"
"('tcanvasmark', 'OSX10.8')","Friday","45490.951"
"('tcanvasmark', 'OSX10.8')","Wednesday","63672.216"
"('tcanvasmark', 'OSX10.8')","Thursday","101422.732"
"('tcanvasmark', 'OSX10.8')","Sunday","13844.573"
"('tcanvasmark', 'OSX10.8')","Saturday","34216.426"
"('tcanvasmark', 'Linux')","Monday","5345.438"
"('tcanvasmark', 'Linux')","Tuesday","4322.962"
"('tcanvasmark', 'Linux')","Friday","5353.390"
"('tcanvasmark', 'Linux')","Wednesday","4674.928"
"('tcanvasmark', 'Linux')","Thursday","4518.706"
"('tcanvasmark', 'Linux')","Sunday","2762.162"
"('tcanvasmark', 'Linux')","Saturday","2944.367"
"('tsvgx', 'OSX64')","Monday","118.925"
"('tsvgx', 'OSX64')","Tuesday","160.415"
"('tsvgx', 'OSX64')","Friday","359.528"
"('tsvgx', 'OSX64')","Wednesday","176.965"
"('tsvgx', 'OSX64')","Thursday","240.313"
"('tsvgx', 'OSX64')","Sunday","75.660"
"('tsvgx', 'OSX64')","Saturday","166.461"
"('tsvgx', 'Win8')","Monday","43.653"
"('tsvgx', 'Win8')","Tuesday","440.561"
"('tsvgx', 'Win8')","Friday","89.382"
"('tsvgx', 'Win8')","Wednesday","46.335"
"('tsvgx', 'Win8')","Thursday","49.154"
"('tsvgx', 'Win8')","Sunday","38.911"
"('tsvgx', 'Win8')","Saturday","37.521"
"('tsvgx', 'WinXP')","Monday","395.401"
"('tsvgx', 'WinXP')","Tuesday","553.022"
"('tsvgx', 'WinXP')","Friday","583.372"
"('tsvgx', 'WinXP')","Wednesday","566.301"
"('tsvgx', 'WinXP')","Thursday","445.013"
"('tsvgx', 'WinXP')","Sunday","475.957"
"('tsvgx', 'WinXP')","Saturday","548.764"
"('tsvgx', 'Win7')","Monday","37.865"
"('tsvgx', 'Win7')","Tuesday","43.251"
"('tsvgx', 'Win7')","Friday","33.835"
"('tsvgx', 'Win7')","Wednesday","39.873"
"('tsvgx', 'Win7')","Thursday","34.838"
"('tsvgx', 'Win7')","Sunday","44.351"
"('tsvgx', 'Win7')","Saturday","47.188"
"('tsvgx', 'Linux64')","Monday","51.839"
"('tsvgx', 'Linux64')","Tuesday","51.318"
"('tsvgx', 'Linux64')","Friday","48.849"
"('tsvgx', 'Linux64')","Wednesday","21.139"
"('tsvgx', 'Linux64')","Thursday","68.175"
"('tsvgx', 'Linux64')","Sunday","14.986"
"('tsvgx', 'Linux64')","Saturday","78.657"
"('tsvgx', 'OSX10.8')","Monday","368.822"
"('tsvgx', 'OSX10.8')","Tuesday","1042.617"
"('tsvgx', 'OSX10.8')","Friday","43697.288"
"('tsvgx', 'OSX10.8')","Wednesday","208.429"
"('tsvgx', 'OSX10.8')","Thursday","276.487"
"('tsvgx', 'OSX10.8')","Sunday","240.267"
"('tsvgx', 'OSX10.8')","Saturday","289.543"
"('tsvgx', 'Linux')","Monday","33.172"
"('tsvgx', 'Linux')","Tuesday","81.523"
"('tsvgx', 'Linux')","Friday","34.370"
"('tsvgx', 'Linux')","Wednesday","28.517"
"('tsvgx', 'Linux')","Thursday","55.202"
"('tsvgx', 'Linux')","Sunday","34.484"
"('tsvgx', 'Linux')","Saturday","26.804"
"('tsvgx', 'Android')","Monday","42330.038"
"('tsvgx', 'Android')","Tuesday","23581.080"
"('tsvgx', 'Android')","Friday","40459.402"
"('tsvgx', 'Android')","Wednesday","21649.961"
"('tsvgx', 'Android')","Thursday","28009.840"
"('tsvgx', 'Android')","Sunday","33115.865"
"('tsvgx', 'Android')","Saturday","10710.014"
"('sessionrestore', 'OSX64')","Monday","286.476"
"('sessionrestore', 'OSX64')","Tuesday","212.085"
"('sessionrestore', 'OSX64')","Friday","180.465"
"('sessionrestore', 'OSX64')","Wednesday","130.096"
"('sessionrestore', 'OSX64')","Thursday","235.733"
"('sessionrestore', 'OSX64')","Sunday","82.848"
"('sessionrestore', 'OSX64')","Saturday","103.767"
"('sessionrestore', 'Win8')","Monday","450.798"
"('sessionrestore', 'Win8')","Tuesday","286.061"
"('sessionrestore', 'Win8')","Friday","299.378"
"('sessionrestore', 'Win8')","Wednesday","290.937"
"('sessionrestore', 'Win8')","Thursday","297.618"
"('sessionrestore', 'Win8')","Sunday","184.063"
"('sessionrestore', 'Win8')","Saturday","287.831"
"('sessionrestore', 'WinXP')","Monday","1184.701"
"('sessionrestore', 'WinXP')","Tuesday","845.236"
"('sessionrestore', 'WinXP')","Friday","117.734"
"('sessionrestore', 'WinXP')","Wednesday","1728.110"
"('sessionrestore', 'WinXP')","Thursday","119.617"
"('sessionrestore', 'WinXP')","Sunday","47.972"
"('sessionrestore', 'WinXP')","Saturday","54.027"
"('sessionrestore', 'Win7')","Monday","336.194"
"('sessionrestore', 'Win7')","Tuesday","290.879"
"('sessionrestore', 'Win7')","Friday","334.336"
"('sessionrestore', 'Win7')","Wednesday","323.839"
"('sessionrestore', 'Win7')","Thursday","351.605"
"('sessionrestore', 'Win7')","Sunday","209.090"
"('sessionrestore', 'Win7')","Saturday","450.457"
"('sessionrestore', 'Linux64')","Monday","1623.813"
"('sessionrestore', 'Linux64')","Tuesday","1615.246"
"('sessionrestore', 'Linux64')","Friday","198.577"
"('sessionrestore', 'Linux64')","Wednesday","214.295"
"('sessionrestore', 'Linux64')","Thursday","1185.300"
"('sessionrestore', 'Linux64')","Sunday","139.363"
"('sessionrestore', 'Linux64')","Saturday","121.933"
"('sessionrestore', 'OSX10.8')","Monday","1976.831"
"('sessionrestore', 'OSX10.8')","Tuesday","4911.971"
"('sessionrestore', 'OSX10.8')","Friday","2257.387"
"('sessionrestore', 'OSX10.8')","Wednesday","4902.969"
"('sessionrestore', 'OSX10.8')","Thursday","2041.436"
"('sessionrestore', 'OSX10.8')","Sunday","647.916"
"('sessionrestore', 'OSX10.8')","Saturday","1842.686"
"('sessionrestore', 'Linux')","Monday","2052.250"
"('sessionrestore', 'Linux')","Tuesday","1821.658"
"('sessionrestore', 'Linux')","Friday","214.723"
"('sessionrestore', 'Linux')","Wednesday","263.972"
"('sessionrestore', 'Linux')","Thursday","2120.135"
"('sessionrestore', 'Linux')","Sunday","147.186"
"('sessionrestore', 'Linux')","Saturday","115.714"
