test id,os id,3,6,runs
261,21,0.9981325864,0.9993775288,3213
201,29,0.9981381178,0.9985612729,11816
82,21,0.9982236508,0.9994078836,11822
297,33,0.9982527665,1,1717
297,21,0.9982733813,0.9989928058,6950
293,21,0.9983448928,0.9998423707,12688
273,37,0.9983552632,1,1824
73,33,0.9983579639,0.999609039,12789
265,33,0.9984389635,0.9996877927,3203
72,24,0.9984394507,0.9990636704,3204
223,33,0.9984462399,0.9987569919,3218
82,33,0.9984467226,0.9996893445,3219
81,18,0.9986010429,0.9990461656,15726
244,25,0.9986983404,1,3073
271,25,0.9987460815,0.9990595611,3190
81,6,0.9987484355,0.9993742178,4794
200,20,0.9987626315,0.9993813157,4849
82,31,0.9987878788,0.9984848485,3300
297,35,0.9988331389,1,1714
297,31,0.9988385598,0.9994192799,1722
297,25,0.9988392339,1,1723
315,21,0.9988425926,0.9996527778,8640
323,35,0.9989065917,0.9993751953,6402
273,33,0.9989131911,1,7361
83,25,0.9989541572,0.9995642322,11474
289,20,0.9989709817,0.999382589,4859
174,20,0.9989746219,0.9989746219,11703
225,21,0.9990017243,0.9996369907,11019
73,31,0.9990569003,0.9993712669,3181
73,25,0.9990636704,0.9996878901,3204
223,31,0.9990909091,0.9993939394,3300
289,21,0.999130586,0.9994783516,5751
223,37,0.9991726991,0.9995863495,4835
289,35,0.9993131868,1,1456
200,29,0.9993185109,1,11739
83,21,0.9993233528,1,11823
273,21,0.9993636653,1,6286
325,33,0.9993868792,0.9993868792,1631
313,31,0.999424626,1,1738
273,25,0.9994465966,1,1807
273,35,0.9994532531,1,1829
85,20,0.9994890573,0.9999148429,11743
87,20,0.9995742144256152,0.999914842885123,11743
225,37,0.9996745851,1,3073
83,37,0.9997273719,0.9999454744,18340
273,24,1,1,1806
