"test","date","variance","weekday"
"v8_7 OSX64","2014-04-01","20088.351300992403","Tuesday"
"v8_7 OSX64","2014-04-02","19038.4915179698","Wednesday"
"v8_7 OSX64","2014-04-03","14402.83046281962","Thursday"
"v8_7 OSX64","2014-04-04","25335.749031758023","Friday"
"v8_7 OSX64","2014-04-06","11478.572316000045","Sunday"
"v8_7 OSX64","2014-04-07","514031.59199330019","Monday"
"v8_7 OSX64","2014-04-08","3037.9763885880857","Tuesday"
"v8_7 OSX64","2014-04-09","242660.10823609476","Wednesday"
"v8_7 OSX64","2014-04-10","4428.4732527280239","Thursday"
"v8_7 OSX64","2014-04-11","620939.2777818843","Friday"
"v8_7 OSX64","2014-04-12","11708.425859504121","Saturday"
"v8_7 OSX64","2014-04-13","5781.8309722222102","Sunday"
"v8_7 OSX64","2014-04-14","12762.738270434435","Monday"
"v8_7 OSX64","2014-04-15","3129118.7222079542","Tuesday"
"v8_7 OSX64","2014-04-16","9065.2320118014395","Wednesday"
"v8_7 OSX64","2014-04-17","10397.329865503722","Thursday"
"v8_7 OSX64","2014-04-18","8520.3076743483944","Friday"
"v8_7 OSX64","2014-04-19","10866.893969000052","Saturday"
"v8_7 OSX64","2014-04-20","0.0","Sunday"
"v8_7 OSX64","2014-04-21","10780.063506994356","Monday"
"v8_7 OSX64","2014-04-22","9727.5195357767789","Tuesday"
"v8_7 OSX64","2014-04-23","11005.4998646943","Wednesday"
"v8_7 OSX64","2014-04-24","15127.093502760006","Thursday"
"v8_7 OSX64","2014-04-25","12043.655857000009","Friday"
"v8_7 OSX64","2014-04-26","40673.09570260418","Saturday"
"v8_7 OSX64","2014-04-27","5607.1298437499954","Sunday"
"v8_7 OSX64","2014-04-28","12315.264878312621","Monday"
"v8_7 OSX64","2014-04-29","6307.0550110946597","Tuesday"
"v8_7 OSX64","2014-04-30","30184.839438016545","Wednesday"
"v8_7 OSX64","2014-05-01","9446.6105206164157","Thursday"
"v8_7 OSX64","2014-05-02","51143.269756235895","Friday"
"v8_7 OSX64","2014-05-03","6190.7915976331651","Saturday"
"v8_7 OSX64","2014-05-04","5134.4733333333506","Sunday"
"v8_7 OSX64","2014-05-05","36998.504007561409","Monday"
"v8_7 OSX64","2014-05-06","10081.403242630397","Tuesday"
"v8_7 OSX64","2014-05-07","9874.0506228373797","Wednesday"
"v8_7 OSX64","2014-05-08","179382.25055844875","Thursday"
"v8_7 OSX64","2014-05-09","4453.5658503401264","Friday"
"v8_7 OSX64","2014-05-10","2840.1006611570288","Saturday"
"v8_7 OSX64","2014-05-11","2957.8547107438203","Sunday"
"v8_7 OSX64","2014-05-12","8955.1790032039789","Monday"
"v8_7 OSX64","2014-05-13","6986.9269387754885","Tuesday"
"v8_7 OSX64","2014-05-14","8570.2518140589673","Wednesday"
"v8_7 OSX64","2014-05-15","6014.6960768175722","Thursday"
"v8_7 OSX64","2014-05-16","5551.5614243483014","Friday"
"v8_7 OSX64","2014-05-17","6206.6202777777726","Saturday"
"v8_7 OSX64","2014-05-18","2754.5983471074273","Sunday"
"v8_7 OSX64","2014-05-19","7738.4474360499862","Monday"
"v8_7 OSX64","2014-05-20","24250.291269841295","Tuesday"
"v8_7 OSX64","2014-05-21","6401.7771261974076","Wednesday"
"v8_7 OSX64","2014-05-22","13653.728320343971","Thursday"
"v8_7 OSX64","2014-05-23","17247.253194925015","Friday"
"v8_7 OSX64","2014-05-24","16860.588512110746","Saturday"
"v8_7 OSX64","2014-05-25","16035.184500000007","Sunday"
"v8_7 OSX64","2014-05-26","8037.217824000013","Monday"
"v8_7 OSX64","2014-05-27","10641.85913805698","Tuesday"
"v8_7 OSX64","2014-05-28","7701.0425078043709","Wednesday"
"v8_7 OSX64","2014-05-29","8060.3692159763386","Thursday"
"v8_7 OSX64","2014-05-30","11298.225314621975","Friday"
"v8_7 OSX64","2014-05-31","8026.1533333333209","Saturday"
"v8_7 OSX64","2014-06-01","4177.2812244898523","Sunday"
"v8_7 OSX64","2014-06-02","11637.694833984386","Monday"
"v8_7 OSX64","2014-06-03","8753.0717881394303","Tuesday"
"v8_7 OSX64","2014-06-04","10796.027635999992","Wednesday"
"v8_7 OSX64","2014-06-05","8024.9165903686244","Thursday"
"v8_7 OSX64","2014-06-06","5982.0864015049565","Friday"
"v8_7 OSX64","2014-06-07","33220.747712665434","Saturday"
"v8_7 OSX64","2014-06-08","12642.775678670378","Sunday"
"v8_7 OSX64","2014-06-09","10631.676493750016","Monday"
"v8_7 OSX64","2014-06-10","5376.435907198098","Tuesday"
"v8_7 OSX64","2014-06-11","8883.8841322313838","Wednesday"
"v8_7 OSX64","2014-06-12","8972.3992098765339","Thursday"
"v8_7 OSX64","2014-06-13","11000.963310657608","Friday"
"v8_7 OSX64","2014-06-14","9124.4173437499994","Saturday"
"v8_7 OSX64","2014-06-15","1143.6264000000217","Sunday"
"v8_7 OSX64","2014-06-16","3574.5477562327005","Monday"
"v8_7 OSX64","2014-06-17","7101.2674305555593","Tuesday"
"v8_7 OSX64","2014-06-18","7192.9880204528754","Wednesday"
"v8_7 OSX64","2014-06-19","11087.088313609471","Thursday"
"v8_7 OSX64","2014-06-20","18383.398400000024","Friday"
"v8_7 OSX64","2014-06-21","7769.6368359375028","Saturday"
"v8_7 OSX64","2014-06-22","6989.6112888888956","Sunday"
"v8_7 OSX64","2014-06-23","6833.2724554183706","Monday"
"v8_7 OSX64","2014-06-24","7216.5302216066584","Tuesday"
"v8_7 OSX64","2014-06-25","6697.6353344671161","Wednesday"
"v8_7 OSX64","2014-06-26","5676.2339950617206","Thursday"
"v8_7 OSX64","2014-06-27","6299.4093502499072","Friday"
"v8_7 OSX64","2014-06-28","5867.4492561983925","Saturday"
"v8_7 OSX64","2014-06-29","10196.13157024797","Sunday"
"v8_7 OSX64","2014-06-30","7855.4945181406028","Monday"
"v8_7 OSX64","2014-07-01","7438.9740972222144","Tuesday"
"v8_7 OSX64","2014-07-02","8835.0257580246944","Wednesday"
"v8_7 OSX64","2014-07-03","5708.5689839319439","Thursday"
"v8_7 OSX64","2014-07-04","13227.858803854895","Friday"
"v8_7 OSX64","2014-07-05","77546.281093749974","Saturday"
"v8_7 OSX64","2014-07-06","4874.086900000013","Sunday"
"v8_7 OSX64","2014-07-07","2539.4147666666495","Monday"
"v8_7 OSX64","2014-07-08","8714.8298647917763","Tuesday"
"v8_7 OSX64","2014-07-09","12742.445151652335","Wednesday"
"v8_7 OSX64","2014-07-10","10683.251635802475","Thursday"
"v8_7 OSX64","2014-07-11","16336.287319735737","Friday"
"v8_7 OSX64","2014-07-12","8116.8565816326418","Saturday"
"v8_7 OSX64","2014-07-13","10854.903593750047","Sunday"
"v8_7 OSX64","2014-07-14","7445.7499515235249","Monday"
"v8_7 OSX64","2014-07-15","13729.669103954095","Tuesday"
"v8_7 OSX64","2014-07-16","20814.956152066101","Wednesday"
"v8_7 OSX64","2014-07-17","13675.790998959395","Thursday"
"v8_7 OSX64","2014-07-18","3991.309479839967","Friday"
"v8_7 OSX64","2014-07-19","3827.0966666666695","Saturday"
"v8_7 OSX64","2014-07-20","6135.5877008309963","Sunday"
"v8_7 OSX64","2014-07-21","7028.0284452479646","Monday"
"v8_7 OSX64","2014-07-22","3691.0139869281124","Tuesday"
"v8_7 OSX64","2014-07-23","4199.689433106576","Wednesday"
"v8_7 OSX64","2014-07-24","3535.338223999996","Thursday"
"v8_7 OSX64","2014-07-25","6030.7950998263914","Friday"
"v8_7 OSX64","2014-07-26","4971.0158024690918","Saturday"
"v8_7 OSX64","2014-07-27","8356.419183673459","Sunday"
"v8_7 OSX64","2014-07-28","4449.3131638723662","Monday"
"v8_7 OSX64","2014-07-29","5274.9316032295346","Tuesday"
"v8_7 OSX64","2014-07-30","4487.690099999978","Wednesday"
"v8_7 OSX64","2014-07-31","4697.1208471074433","Thursday"
"v8_7 OSX64","2014-08-01","6203.0752410208088","Friday"
"v8_7 OSX64","2014-08-02","6520.5750617284102","Saturday"
"v8_7 OSX64","2014-08-03","5937.793710937498","Sunday"
"v8_7 OSX64","2014-08-04","6669.4021219135711","Monday"
"v8_7 OSX64","2014-08-05","9044.3631680123199","Tuesday"
"v8_7 OSX64","2014-08-06","20973.675181439583","Wednesday"
"v8_7 OSX64","2014-08-07","13346.070872359982","Thursday"
"v8_7 OSX64","2014-08-08","10017.447910288349","Friday"
"v8_7 OSX64","2014-08-09","9647.1552888888964","Saturday"
"v8_7 OSX64","2014-08-10","8644.0256235827546","Sunday"
"v8_7 OSX64","2014-08-11","5151.5994841269639","Monday"
"v8_7 OSX64","2014-08-12","2428.0711621093646","Tuesday"
"v8_7 OSX64","2014-08-13","6234.8821653777541","Wednesday"
"v8_7 OSX64","2014-08-14","2481.4956841536023","Thursday"
"v8_7 OSX64","2014-08-15","5488.6699826388913","Friday"
"v8_7 OSX64","2014-08-16","3059.627958477527","Saturday"
"v8_7 OSX64","2014-08-17","2519.1138888888822","Sunday"
"v8_7 OSX64","2014-08-18","2047.0857426303853","Monday"
"v8_7 OSX64","2014-08-19","6271.4613279773457","Tuesday"
"v8_7 OSX64","2014-08-20","45338.856502835493","Wednesday"
"v8_7 OSX64","2014-08-21","11858.624016000009","Thursday"
"v8_7 OSX64","2014-08-22","11055.661402469144","Friday"
"v8_7 OSX64","2014-08-23","12875.884888888857","Saturday"
"v8_7 OSX64","2014-08-24","7474.8346666666821","Sunday"
"v8_7 OSX64","2014-08-25","13573.680723140527","Monday"
"v8_7 OSX64","2014-08-26","19785.301313775486","Tuesday"
"v8_7 OSX64","2014-08-27","11035.965547928961","Wednesday"
"v8_7 OSX64","2014-08-28","11865.779039780515","Thursday"
"v8_7 OSX64","2014-08-29","12451.354790249432","Friday"
"v8_7 OSX64","2014-08-30","12061.844874999981","Saturday"
"v8_7 OSX64","2014-08-31","12886.778933333329","Sunday"
"v8_7 OSX64","2014-09-01","12047.890334693846","Monday"
"v8_7 OSX64","2014-09-02","17083.188206360945","Tuesday"
"v8_7 OSX64","2014-09-03","12564.703763888871","Wednesday"
"v8_7 OSX64","2014-09-04","795.19290000000228","Thursday"
"v8_7 OSX64","2014-09-05","7765.9443839999967","Friday"
"v8_7 OSX64","2014-09-06","1842.2385714285624","Saturday"
"v8_7 OSX64","2014-09-07","1578.8461728395216","Sunday"
"v8_7 OSX64","2014-09-08","1949.6090861275502","Monday"
"v8_7 OSX64","2014-09-09","1300.7411654320931","Tuesday"
"v8_7 OSX64","2014-09-10","22229.032965468137","Wednesday"
"v8_7 OSX64","2014-09-11","2773.3357862360672","Thursday"
"v8_7 OSX64","2014-09-12","51767.266558159667","Friday"
"v8_7 OSX64","2014-09-13","1488.1593749999888","Saturday"
"v8_7 OSX64","2014-09-14","1831.780165289244","Sunday"
"v8_7 OSX64","2014-09-15","60573.203843749943","Monday"
"v8_7 OSX64","2014-09-16","2179.074844444433","Tuesday"
"v8_7 OSX64","2014-09-17","2082.3005251244836","Wednesday"
"v8_7 OSX64","2014-09-18","3642.506186200374","Thursday"
"v8_7 OSX64","2014-09-19","4453.3718550567874","Friday"
"v8_7 OSX64","2014-09-20","691.53654320987516","Saturday"
"v8_7 OSX64","2014-09-21","1743.0755555555695","Sunday"
"v8_7 OSX64","2014-09-22","4919.1675675675669","Monday"
"v8_7 OSX64","2014-09-23","3288.4706000000078","Tuesday"
"v8_7 OSX64","2014-09-24","3863.2433438667076","Wednesday"
"v8_7 OSX64","2014-09-25","4850.9015809327675","Thursday"
"v8_7 OSX64","2014-09-26","3995.1708707409371","Friday"
"v8_7 OSX64","2014-09-27","9117.9509000000016","Saturday"
"v8_7 OSX64","2014-09-28","1732.4884999999765","Sunday"
"v8_7 OSX64","2014-09-29","6121.2439737654222","Monday"
"v8_7 OSX64","2014-09-30","4175.6571776406181","Tuesday"
"v8_7 OSX64","2014-10-01","4453.6875340136012","Wednesday"
"v8_7 OSX64","2014-10-02","32038.073217993067","Thursday"
"v8_7 OSX64","2014-10-03","5580.7677333333068","Friday"
"v8_7 OSX64","2014-10-04","20693.725625000021","Saturday"
"v8_7 OSX64","2014-10-05","21178.15976331363","Sunday"
"v8_7 OSX64","2014-10-06","9632.8208437499998","Monday"
"v8_7 OSX64","2014-10-07","16496.315181439619","Tuesday"
"v8_7 OSX64","2014-10-08","35935.723064888865","Wednesday"
"v8_7 OSX64","2014-10-09","9218.2036049970175","Thursday"
"v8_7 OSX64","2014-10-10","9789.3902721088525","Friday"
"v8_7 OSX64","2014-10-11","13912.254228395019","Saturday"
"v8_7 OSX64","2014-10-12","14537.153223140542","Sunday"
"v8_7 OSX64","2014-10-13","10685.061913988657","Monday"
"v8_7 OSX64","2014-10-14","40705.219066666723","Tuesday"
"v8_7 OSX64","2014-10-15","23044.562202469111","Wednesday"
"v8_7 OSX64","2014-10-16","14712.041106770834","Thursday"
"v8_7 OSX64","2014-10-17","27421.63593572782","Friday"
"v8_7 OSX64","2014-10-18","63485.696874999849","Saturday"
"v8_7 OSX64","2014-10-19","7976.9809876543231","Sunday"
"v8_7 OSX64","2014-10-20","5964.3998060941794","Monday"
"v8_7 OSX64","2014-10-21","21515.683120659723","Tuesday"
"v8_7 OSX64","2014-10-22","16066.681566014151","Wednesday"
"v8_7 OSX64","2014-10-23","47402.776274999938","Thursday"
"v8_7 OSX64","2014-10-24","19081.926291358031","Friday"
"v8_7 OSX64","2014-10-25","20209.788099173569","Saturday"
"v8_7 OSX64","2014-10-26","3469.0798437500043","Sunday"
"v8_7 OSX64","2014-10-27","14330.651326530582","Monday"
"v8_7 OSX64","2014-10-28","41705.15577594129","Tuesday"
"v8_7 OSX64","2014-10-29","31910.027199999993","Wednesday"
"v8_7 OSX64","2014-10-30","30547.730493750038","Thursday"
"v8_7 OSX64","2014-10-31","51833.911422390513","Friday"
"v8_7 OSX64","2014-11-01","7388.6008264463126","Saturday"
"v8_7 OSX64","2014-11-02","50325.675555555536","Sunday"
"v8_7 OSX64","2014-11-03","28435.217354863526","Monday"
"v8_7 OSX64","2014-11-04","10755.698216409042","Tuesday"
